Operação;Parcelas;Flat;Incide sobre;Bônus;Incide sobre;Diferido;Incide sobre;Comissão Total;Vigência;Formalização;Observação
C6 BANK - INSS - C6 BANK - INSS - DIGITAL WEB NOVO NORMAL - LOAS 88 (210178) - TAXA 1,85% - PCT 7 - ACIMA 26.785,70 - FIXO;1 até 96;R$ 750,00;Vl. Bruto;R$ 0,00;Vl. Bruto;R$ 0,00;Vl. Bruto;R$ 750,00;28/03/2025;Outros;CRIADA P ACERTO
C6 BANK - INSS - C6 BANK - INSS - DIGITAL WEB PLUS NOVO NORMAL (210182) - TAXA 1,85%;96 até 96;"6,80%";Vl. Bruto;"0,00%";Vl. Bruto;"0,00%";Vl. Bruto;;29/04/2025;Outros;-
C6 BANK - INSS - C6 BANK - INSS - DIGITAL WEB NOVO NORMAL (210180) - TAXA 1,85%;96 até 96;"6,80%";Vl. Bruto;"0,00%";Vl. Bruto;"0,00%";Vl. Bruto;;29/04/2025;Outros;-
C6 BANK - INSS - C6 BANK - INSS - DIGITAL WEB NOVO NORMAL (210177) - TAXA 1,85%;96 até 96;"5,80%";Vl. Bruto;"0,00%";Vl. Bruto;"0,00%";Vl. Bruto;;24/04/2025;Outros;-
C6 BANK - INSS - C6 BANK - INSS - DIGITAL WEB NOVO REPRESENTANTE LEGAL (210184) - TAXA 1,85%;96 até 96;"5,55%";Vl. Bruto;"0,00%";Vl. Bruto;"0,00%";Vl. Bruto;;29/04/2025;Outros;-
C6 BANK - INSS - C6 BANK - INSS - DIGITAL WEB NOVO NORMAL - LOAS 88 (210178) - TAXA 1,85% - PCT 7 - ATE 26.785,70;1 até 96;"2,80%";Vl. Bruto;"0,00%";Vl. Bruto;"0,00%";Vl. Bruto;"2,80%";28/03/2025;Outros;CRIADA P ACERTO
C6 BANK - INSS - C6 BANK - INSS - DIGITAL WEB PLUS NOVO NORMAL (210182) - TAXA 1,85%;84 até 84;"5,05%";Vl. Bruto;"0,00%";Vl. Bruto;"0,00%";Vl. Bruto;;29/04/2025;Outros;-
C6 BANK - INSS - C6 BANK - INSS - DIGITAL WEB NOVO NORMAL (210180) - TAXA 1,85%;84 até 84;"5,05%";Vl. Bruto;"0,00%";Vl. Bruto;"0,00%";Vl. Bruto;;29/04/2025;Outros;-
C6 BANK - INSS - C6 BANK - INSS - DIGITAL WEB NOVO NORMAL - LOAS 88 (210181) - TAXA 1,85%;96 até 96;"4,80%";Vl. Bruto;"0,00%";Vl. Bruto;"0,00%";Vl. Bruto;;29/04/2025;Outros;-
C6 BANK - INSS - C6 BANK - INSS - DIGITAL WEB PLUS NOVO NORMAL - LOAS 88 (210183) - TAXA 1,85%;96 até 96;"4,80%";Vl. Bruto;"0,00%";Vl. Bruto;"0,00%";Vl. Bruto;;29/04/2025;Outros;-
C6 BANK - INSS - C6 BANK - INSS - DIGITAL WEB NOVO NORMAL AUMENTO (210152) - TAXA 1,80%;84 até 84;"4,25%";Vl. Bruto;"0,00%";Vl. Bruto;"0,00%";Vl. Bruto;"4,25%";28/04/2025;Outros;-
C6 BANK - INSS - C6 BANK - INSS - DIGITAL WEB NOVO REPRESENTANTE LEGAL (210184) - TAXA 1,85%;84 até 84;"4,30%";Vl. Bruto;"0,00%";Vl. Bruto;"0,00%";Vl. Bruto;;29/04/2025;Outros;-
C6 BANK - INSS - C6 BANK - INSS - DIGITAL WEB NOVO NORMAL (210180) - TAXA 1,85%;72 até 72;"2,35%";Vl. Bruto;"0,00%";Vl. Bruto;"0,00%";Vl. Bruto;;29/04/2025;Outros;-
C6 BANK - INSS - C6 BANK - INSS - DIGITAL WEB NOVO NORMAL - LOAS 88 (210181) - TAXA 1,85%;84 até 84;"3,05%";Vl. Bruto;"0,00%";Vl. Bruto;"0,00%";Vl. Bruto;;29/04/2025;Outros;-
C6 BANK - INSS - C6 BANK - INSS - DIGITAL WEB PLUS NOVO NORMAL - LOAS 88 (210183) - TAXA 1,85%;84 até 84;"3,05%";Vl. Bruto;"0,00%";Vl. Bruto;"0,00%";Vl. Bruto;;29/04/2025;Outros;-
C6 BANK - INSS - C6 BANK - INSS - DIGITAL WEB PLUS NOVO NORMAL (210182) - TAXA 1,85%;72 até 72;"2,05%";Vl. Bruto;"0,00%";Vl. Bruto;"0,00%";Vl. Bruto;;29/04/2025;Outros;-
C6 BANK - INSS - C6 BANK - INSS - DIGITAL WEB NOVO NORMAL (210180) - TAXA 1,85%;60 até 60;"1,85%";Vl. Bruto;"0,00%";Vl. Bruto;"0,00%";Vl. Bruto;;29/04/2025;Outros;-
C6 BANK - INSS - C6 BANK - INSS - DIGITAL WEB NOVO REPRESENTANTE LEGAL (210184) - TAXA 1,85%;60 até 71;"1,85%";Vl. Bruto;"0,00%";Vl. Bruto;"0,00%";Vl. Bruto;;29/04/2025;Outros;-
C6 BANK - INSS - C6 BANK - INSS - DIGITAL WEB PLUS NOVO NORMAL (210182) - TAXA 1,85%;60 até 60;"1,85%";Vl. Bruto;"0,00%";Vl. Bruto;"0,00%";Vl. Bruto;;29/04/2025;Outros;-
C6 BANK - INSS - C6 BANK - INSS - DIGITAL WEB NOVO REPRESENTANTE LEGAL (210184) - TAXA 1,85%;72 até 83;"1,80%";Vl. Bruto;"0,00%";Vl. Bruto;"0,00%";Vl. Bruto;;29/04/2025;Outros;-
C6 BANK - INSS - C6 BANK - INSS - DIGITAL WEB NOVO FLEX 2 (210191) - TAXA 1,80%;96 até 96;"1,30%";Vl. Bruto;"0,00%";Vl. Bruto;"0,00%";Vl. Bruto;;14/04/2025;Outros;-
C6 BANK - INSS - C6 BANK - INSS - DIGITAL WEB PLUS NOVO FLEX 4 (210044);84 até 84;"0,90%";Vl. Bruto;"0,00%";Vl. Bruto;"0,00%";Vl. Bruto;"0,90%";28/04/2025;Outros;
C6 BANK - INSS - C6 BANK - INSS - DIGITAL WEB PLUS NOVO FLEX 3 (210044);84 até 84;"1,30%";Vl. Bruto;"0,00%";Vl. Bruto;"0,00%";Vl. Bruto;"1,30%";28/04/2025;Outros;
C6 BANK - INSS - C6 BANK - INSS - DIGITAL WEB PLUS NOVO FLEX 2 (210044) - TAXA 1,60%;84 até 84;"0,75%";Vl. Bruto;"0,00%";Vl. Bruto;"0,00%";Vl. Bruto;"0,75%";28/04/2025;Outros;
C6 BANK - INSS - C6 BANK - INSS - DIGITAL WEB PLUS NOVO FLEX 1 (210187) - TAXA 1,83%;96 até 96;"1,30%";Vl. Bruto;"0,00%";Vl. Bruto;"0,00%";Vl. Bruto;;08/04/2025;Outros;-
C6 BANK - INSS - C6 BANK - INSS - DIGITAL WEB PLUS NOVO FLEX 2 (210188) - TAXA 1,80%;96 até 96;"1,30%";Vl. Bruto;"0,00%";Vl. Bruto;"0,00%";Vl. Bruto;;08/04/2025;Outros;-
C6 BANK - INSS - C6 BANK - INSS - DIGITAL WEB NOVO REPRESENTANTE LEGAL (210150) - TAXA 1,80%;36 até 47;"0,85%";Vl. Bruto;"0,00%";Vl. Bruto;"0,00%";Vl. Bruto;"0,85%";02/05/2025;Outros;-
C6 BANK - INSS - C6 BANK - INSS - DIGITAL WEB NOVO REPRESENTANTE LEGAL (210184) - TAXA 1,85%;24 até 35;"0,00%";Vl. Bruto;"0,00%";Vl. Bruto;"0,00%";Vl. Bruto;;08/04/2025;Outros;-
C6 BANK - INSS - C6 BANK - INSS - DIGITAL WEB NOVO REPRESENTANTE LEGAL (210184) - TAXA 1,85%;36 até 47;"0,00%";Vl. Bruto;"0,00%";Vl. Bruto;"0,00%";Vl. Bruto;;08/04/2025;Outros;-
C6 BANK - INSS - C6 BANK - INSS - DIGITAL WEB PLUS NOVO NORMAL (210182) - TAXA 1,85%;36 até 36;"0,30%";Vl. Bruto;"0,00%";Vl. Bruto;"0,00%";Vl. Bruto;;08/04/2025;Outros;-
C6 BANK - INSS - TEMPORARIA NOVO;1 até 96;"0,00%";Vl. Bruto;"0,00%";Vl. Bruto;"0,00%";Vl. Bruto;"0,00%";01/01/2025;Outros;-
C6 BANK - INSS - C6 BANK - INSS - DIGITAL WEB NOVO REPRESENTANTE LEGAL (210184) - TAXA 1,85%;48 até 59;"0,55%";Vl. Bruto;"0,00%";Vl. Bruto;"0,00%";Vl. Bruto;;29/04/2025;Outros;-
C6 BANK - INSS - C6 BANK - INSS - DIGITAL WEB PLUS NOVO NORMAL (210182) - TAXA 1,85%;48 até 48;"0,80%";Vl. Bruto;"0,00%";Vl. Bruto;"0,00%";Vl. Bruto;;29/04/2025;Outros;-
C6 BANK - INSS - TEMPORARIA NOVO;1 até 84;"0,00%";Vl. Líquido;"0,00%";Vl. Líquido;"0,00%";Vl. Líquido;"0,00%";27/07/2020;Outros;-
